지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
405,양천,2019-01-01 01:00,-4.1,280.9,.9,0,,,
405,양천,2019-01-01 02:00,-4.6,287,1,0,,,
405,양천,2019-01-01 03:00,-5,280.6,.9,0,,,
405,양천,2019-01-01 04:00,-5.7,281.2,1,0,,,
405,양천,2019-01-01 05:00,-5.6,268.9,1.3,0,,,
405,양천,2019-01-01 06:00,-5.9,274,.7,0,,,
405,양천,2019-01-01 07:00,-6.7,11.7,1,0,,,
405,양천,2019-01-01 08:00,-6.4,0,.4,0,,,
405,양천,2019-01-01 09:00,-5.2,287.1,1,0,,,
405,양천,2019-01-01 10:00,-3.6,21.9,1.9,0,,,
405,양천,2019-01-01 11:00,-2.6,350.4,1,0,,,
405,양천,2019-01-01 12:00,-2.3,271.6,1.9,0,,,
405,양천,2019-01-01 13:00,-.9,263.3,1.7,0,,,
405,양천,2019-01-01 14:00,-1.2,271.6,2.2,0,,,
405,양천,2019-01-01 15:00,-1.3,286.5,2.3,0,,,
405,양천,2019-01-01 16:00,-1.1,283.2,1.9,0,,,
405,양천,2019-01-01 17:00,-1.3,262.3,1.1,0,,,
405,양천,2019-01-01 18:00,-1.7,265.3,1.8,0,,,
405,양천,2019-01-01 19:00,-2.2,269.9,2,0,,,
405,양천,2019-01-01 20:00,-2.8,278.3,1.9,0,,,
405,양천,2019-01-01 21:00,-3.6,290.8,1.5,0,,,
405,양천,2019-01-01 22:00,-4.4,274.5,1.2,0,,,
405,양천,2019-01-01 23:00,-4.7,286.3,1.1,0,,,
405,양천,2019-01-02 00:00,-4.8,282.8,1.4,0,,,
