지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
405,양천,2018-01-01 01:00,-1.8,15.6,.5,0,,,
405,양천,2018-01-01 02:00,-2,4.5,.5,0,,,
405,양천,2018-01-01 03:00,-2.3,330.8,.5,0,,,
405,양천,2018-01-01 04:00,-1.8,333.2,.6,0,,,
405,양천,2018-01-01 05:00,-2.6,0,.4,0,,,
405,양천,2018-01-01 06:00,-3.7,0,.2,0,,,
405,양천,2018-01-01 07:00,-4,106.4,.5,0,,,
405,양천,2018-01-01 08:00,-4,46.4,.5,0,,,
405,양천,2018-01-01 09:00,-1.4,0,0,0,,,
405,양천,2018-01-01 10:00,.3,178.2,.5,0,,,
405,양천,2018-01-01 11:00,2,6.3,1.4,0,,,
405,양천,2018-01-01 12:00,2.9,329.2,1.1,0,,,
405,양천,2018-01-01 13:00,2.8,282,1.8,0,,,
405,양천,2018-01-01 14:00,3.7,356,1.2,0,,,
405,양천,2018-01-01 15:00,3.6,179.8,1,0,,,
405,양천,2018-01-01 16:00,2.6,298,2.1,0,,,
405,양천,2018-01-01 17:00,2,288.4,1.5,0,,,
405,양천,2018-01-01 18:00,1.7,299.3,.8,0,,,
405,양천,2018-01-01 19:00,.6,0,.3,0,,,
405,양천,2018-01-01 20:00,.3,0,.2,0,,,
405,양천,2018-01-01 21:00,.3,0,0,0,,,
405,양천,2018-01-01 22:00,-.9,0,0,0,,,
405,양천,2018-01-01 23:00,-1.1,0,0,0,,,
405,양천,2018-01-02 00:00,-1.5,0,.1,0,,,
