지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
405,양천,2017-01-01 01:00,1.8,161,.8,0,,,
405,양천,2017-01-01 02:00,1.4,0,.2,0,,,
405,양천,2017-01-01 03:00,1.1,0,.3,0,,,
405,양천,2017-01-01 04:00,.5,165.6,.7,0,,,
405,양천,2017-01-01 05:00,.3,0,.4,0,,,
405,양천,2017-01-01 06:00,.1,0,.1,0,,,
405,양천,2017-01-01 07:00,.4,173,.7,0,,,
405,양천,2017-01-01 08:00,.4,194,.5,0,,,
405,양천,2017-01-01 09:00,1.4,0,.1,0,,,
405,양천,2017-01-01 10:00,3.2,97.5,.7,0,,,
405,양천,2017-01-01 11:00,4.6,82.9,.8,0,,,
405,양천,2017-01-01 12:00,6.3,129.3,.8,0,,,
405,양천,2017-01-01 13:00,7.1,72.9,.9,0,,,
405,양천,2017-01-01 14:00,7.4,94.4,.6,0,,,
405,양천,2017-01-01 15:00,7.9,188.4,1.8,0,,,
405,양천,2017-01-01 16:00,8.1,168,1,0,,,
405,양천,2017-01-01 17:00,7.9,163.2,.7,0,,,
405,양천,2017-01-01 18:00,7.7,131.6,.8,0,,,
405,양천,2017-01-01 19:00,6.8,0,.4,0,,,
405,양천,2017-01-01 20:00,6.5,116.7,.6,0,,,
405,양천,2017-01-01 21:00,5.7,0,.4,0,,,
405,양천,2017-01-01 22:00,6,0,0,0,,,
405,양천,2017-01-01 23:00,5.9,152.6,.5,0,,,
405,양천,2017-01-02 00:00,5.9,80.5,.8,0,,,
