지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
405,양천,2016-01-01 01:00,-.2,159.3,.5,0,,,
405,양천,2016-01-01 02:00,-.5,0,.2,0,,,
405,양천,2016-01-01 03:00,-1,0,.4,0,,,
405,양천,2016-01-01 04:00,-1.2,157.2,.5,0,,,
405,양천,2016-01-01 05:00,-1,0,0,0,,,
405,양천,2016-01-01 06:00,0,147.6,.5,0,,,
405,양천,2016-01-01 07:00,.1,0,.2,0,,,
405,양천,2016-01-01 08:00,.2,95.4,.9,0,,,
405,양천,2016-01-01 09:00,.3,144.8,.8,0,,,
405,양천,2016-01-01 10:00,1.3,136.9,1.2,0,,,
405,양천,2016-01-01 11:00,2.6,112.3,1,0,,,
405,양천,2016-01-01 12:00,3.4,122.9,.8,0,,,
405,양천,2016-01-01 13:00,4.5,40.9,1.1,0,,,
405,양천,2016-01-01 14:00,4.9,155.4,1.5,0,,,
405,양천,2016-01-01 15:00,5.1,189.6,2.2,0,,,
405,양천,2016-01-01 16:00,5.1,171.2,1.3,0,,,
405,양천,2016-01-01 17:00,5.2,146.7,1.3,0,,,
405,양천,2016-01-01 18:00,5.3,196,1.8,0,,,
405,양천,2016-01-01 19:00,5.1,162,2,0,,,
405,양천,2016-01-01 20:00,5.1,167.9,1.4,0,,,
405,양천,2016-01-01 21:00,5.2,158.4,1,0,,,
405,양천,2016-01-01 22:00,5.2,171.8,1.3,0,,,
405,양천,2016-01-01 23:00,5.3,153.3,.7,0,,,
405,양천,2016-01-02 00:00,5.1,163,1.5,0,,,
